_id,zooniverse_id,subimage
509935796aa0e064b600014d,AAP0000099,B01-F06_7_F475W
509935796aa0e064b600014e,AAP000009a,B01-F06_8
509935796aa0e064b600014f,AAP000009b,B01-F06_8_F475W
509935796aa0e064b6000150,AAP000009c,B01-F06_9
509935796aa0e064b6000151,AAP000009d,B01-F06_9_F475W
509935796aa0e064b6000152,AAP000009e,B01-F07_1
509935796aa0e064b6000153,AAP000009f,B01-F07_10
509935796aa0e064b6000154,AAP000009g,B01-F07_10_F475W
509935796aa0e064b6000155,AAP000009h,B01-F07_11
509935796aa0e064b6000156,AAP000009i,B01-F07_11_F475W
509935796aa0e064b6000157,AAP000009j,B01-F07_12
509935796aa0e064b6000158,AAP000009k,B01-F07_12_F475W
509935796aa0e064b6000159,AAP000009l,B01-F07_13
509935796aa0e064b600015a,AAP000009m,B01-F07_13_F475W
509935796aa0e064b600015b,AAP000009n,B01-F07_14
509935796aa0e064b600015c,AAP000009o,B01-F07_14_F475W
509935796aa0e064b600015d,AAP000009p,B01-F07_15
509935796aa0e064b600015e,AAP000009q,B01-F07_15_F475W
509935796aa0e064b600015f,AAP000009r,B01-F07_16
509935796aa0e064b6000160,AAP000009s,B01-F07_16_F475W
509935796aa0e064b6000161,AAP000009t,B01-F07_17
509935796aa0e064b6000162,AAP000009u,B01-F07_17_F475W
509935796aa0e064b6000163,AAP000009v,B01-F07_18
509935796aa0e064b6000164,AAP000009w,B01-F07_18_F475W
509935796aa0e064b6000165,AAP000009x,B01-F07_19
509935796aa0e064b6000166,AAP000009y,B01-F07_19_F475W
509935796aa0e064b6000167,AAP000009z,B01-F07_1_F475W
509935796aa0e064b6000168,AAP00000a0,B01-F07_2
509935796aa0e064b6000169,AAP00000a1,B01-F07_20
509935796aa0e064b600016a,AAP00000a2,B01-F07_20_F475W
509935796aa0e064b600016b,AAP00000a3,B01-F07_21
509935796aa0e064b600016c,AAP00000a4,B01-F07_21_F475W
509935796aa0e064b600016d,AAP00000a5,B01-F07_22
509935796aa0e064b600016e,AAP00000a6,B01-F07_22_F475W
509935796aa0e064b600016f,AAP00000a7,B01-F07_23
509935796aa0e064b6000170,AAP00000a8,B01-F07_23_F475W
509935796aa0e064b6000171,AAP00000a9,B01-F07_24
509935796aa0e064b6000172,AAP00000aa,B01-F07_24_F475W
509935796aa0e064b6000173,AAP00000ab,B01-F07_25
509935796aa0e064b6000174,AAP00000ac,B01-F07_25_F475W
