zooniverse_id,name,location,thumbnail_location,ra,dec
AAP000001w,B15-F09_25_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_25_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_25_F475W_sc.jpg,11.275166263225394,41.896736981221245
AAP000001x,B15-F09_25_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_25_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_25_sc.jpg,11.275166263225394,41.896736981221245
AAP000001y,B15-F09_26,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_26.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_26.jpg,11.263648116250634,41.89809641741428
AAP000001z,B15-F09_26_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_26_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_26_F475W.jpg,11.263648116250634,41.89809641741428
AAP0000020,B15-F09_26_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_26_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_26_F475W_sc.jpg,11.263648116250634,41.89809641741428
AAP0000021,B15-F09_26_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_26_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_26_sc.jpg,11.263648116250634,41.89809641741428
AAP0000022,B15-F09_27,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_27.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_27.jpg,11.252129478829564,41.899454702625206
AAP0000023,B15-F09_27_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_27_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_27_F475W.jpg,11.252129478829564,41.899454702625206
AAP0000024,B15-F09_27_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_27_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_27_F475W_sc.jpg,11.252129478829564,41.899454702625206
AAP0000025,B15-F09_27_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_27_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_27_sc.jpg,11.252129478829564,41.899454702625206
